,Name,region,release_date,type,score,url
0,这个杀手不太冷,法国,1994-09-14,"['剧情', '动作', '犯罪']",9.4,https://movie.douban.com/subject/1295644/
1,七武士,日本,1954-04-26,"['动作', '冒险', '剧情']",9.2,https://movie.douban.com/subject/1295399/
2,蝙蝠侠：黑暗骑士,美国,2008-07-14,"['剧情', '动作', '科幻', '犯罪', '惊悚']",9.1,https://movie.douban.com/subject/1851857/
3,指环王3：王者无敌,美国,2004-03-12,"['剧情', '动作', '奇幻', '冒险']",9.1,https://movie.douban.com/subject/1291552/
4,搏击俱乐部,美国,1999-09-10,"['剧情', '动作', '悬疑', '惊悚']",9.0,https://movie.douban.com/subject/1292000/
5,指环王1：魔戒再现,新西兰,2002-04-04,"['剧情', '动作', '奇幻', '冒险']",9.0,https://movie.douban.com/subject/1291571/
6,指环王2：双塔奇兵,美国,2003-04-25,"['剧情', '动作', '奇幻', '冒险']",9.0,https://movie.douban.com/subject/1291572/
7,将军号,美国,1926-12-31,"['剧情', '喜剧', '动作', '战争', '冒险']",9.0,https://movie.douban.com/subject/1292778/
8,黑客帝国,美国,1999-03-31,"['动作', '科幻']",8.9,https://movie.douban.com/subject/1291843/
9,勇敢的心,美国,1995-05-18,"['动作', '传记', '剧情', '历史', '战争']",8.9,https://movie.douban.com/subject/1294639/
10,攻壳机动队,日本,1995-11-18,"['动作', '科幻', '动画']",8.9,https://movie.douban.com/subject/1291936/
11,V字仇杀队,美国,2005-12-11,"['剧情', '动作', '科幻', '惊悚']",8.8,https://movie.douban.com/subject/1309046/
12,乱,日本,1985-06-01,"['动作', '剧情', '战争']",8.8,https://movie.douban.com/subject/1296196/
13,黑客帝国动画版,美国,2003-06-03,"['动作', '剧情', '动画', '科幻']",8.8,https://movie.douban.com/subject/1292347/
14,蝙蝠侠：黑暗骑士归来(下),美国,2013-01-29,"['动作', '动画']",8.8,https://movie.douban.com/subject/11443810/
15,用心棒,日本,1961-04-25,"['动作', '犯罪', '剧情', '惊悚']",8.8,https://movie.douban.com/subject/1292515/
16,桥,南斯拉夫,1969-07-14,"['动作', '战争']",8.8,https://movie.douban.com/subject/1305697/
17,攻壳机动队SSS,日本,2006-09-01,"['动作', '科幻', '动画']",8.8,https://movie.douban.com/subject/1870128/
18,让子弹飞,中国大陆,2010-12-16,"['剧情', '喜剧', '动作', '西部']",8.7,https://movie.douban.com/subject/3742360/
19,头号玩家,美国,2018-03-30,"['动作', '科幻', '冒险']",8.7,https://movie.douban.com/subject/4920389/
20,阿凡达,美国,2010-01-04,"['动作', '战争', '科幻', '冒险']",8.7,https://movie.douban.com/subject/1652587/
21,加勒比海盗,美国,2003-11-21,"['动作', '冒险', '奇幻']",8.7,https://movie.douban.com/subject/1298070/
22,蝙蝠侠：黑暗骑士崛起,美国,2012-08-27,"['剧情', '动作', '科幻', '犯罪', '惊悚']",8.7,https://movie.douban.com/subject/3395373/
23,蜘蛛侠：平行宇宙,美国,2018-12-21,"['动作', '科幻', '动画', '冒险']",8.7,https://movie.douban.com/subject/26374197/
24,谍影重重3,美国,2007-11-15,"['动作', '悬疑', '惊悚']",8.7,https://movie.douban.com/subject/1578507/
25,纵横四海,香港,1991-02-02,"['剧情', '喜剧', '动作', '犯罪']",8.7,https://movie.douban.com/subject/1295409/
26,枪火,香港,1999-11-19,"['剧情', '动作', '犯罪']",8.7,https://movie.douban.com/subject/1300741/
27,东邪西毒：终极版,香港,2009-03-26,"['剧情', '动作', '爱情']",8.7,https://movie.douban.com/subject/3726072/
28,极速风流,英国,2015-12-11,"['剧情', '传记', '动作', '运动']",8.7,https://movie.douban.com/subject/6803494/
29,精英部队2：大敌当前,巴西,2011-11-25,"['剧情', '动作', '犯罪', '惊悚']",8.7,https://movie.douban.com/subject/4304402/
30,椿三十郎,日本,1962-01-01,"['动作', '剧情', '惊悚']",8.7,https://movie.douban.com/subject/1293310/
31,铁达尼号沉没记,加拿大,1996-11-17,"['剧情', '动作', '历史', '爱情', '灾难']",8.7,https://movie.douban.com/subject/1296542/
32,超能陆战队,美国,2015-02-28,"['喜剧', '动作', '科幻', '动画', '冒险']",8.6,https://movie.douban.com/subject/11026735/
33,东邪西毒,香港,1994-09-17,"['剧情', '动作', '爱情', '武侠', '古装']",8.6,https://movie.douban.com/subject/1292328/
34,被解救的姜戈,美国,2013-05-12,"['剧情', '动作', '西部', '冒险']",8.6,https://movie.douban.com/subject/6307447/
35,疯狂的麦克斯4：狂暴之路,澳大利亚,2015-05-14,"['动作', '科幻', '冒险']",8.6,https://movie.douban.com/subject/3592854/
36,英雄本色,香港,2017-11-17,"['动作', '犯罪']",8.6,https://movie.douban.com/subject/1297574/
37,黑客帝国3：矩阵革命,美国,2003-11-05,"['动作', '科幻']",8.6,https://movie.douban.com/subject/1302467/
38,谍影重重2,美国,2004-11-14,"['动作', '悬疑', '惊悚']",8.6,https://movie.douban.com/subject/1308767/
39,终结者2：审判日,美国,1991-07-03,"['动作', '科幻']",8.6,https://movie.douban.com/subject/1291844/
40,勇闯夺命岛,美国,1996-06-07,"['动作', '冒险']",8.6,https://movie.douban.com/subject/1292728/
41,黑鹰坠落,美国,2001-12-18,"['动作', '历史', '战争']",8.6,https://movie.douban.com/subject/1291824/
42,恶童,日本,2006-12-23,"['动画', '动作', '冒险', '犯罪']",8.6,https://movie.douban.com/subject/1848925/
43,宾虚,美国,1959-11-18,"['剧情', '动作', '历史', '战争', '冒险']",8.6,https://movie.douban.com/subject/1293150/
44,敲开天堂的门,德国,1997-02-20,"['动作', '犯罪', '喜剧', '剧情']",8.6,https://movie.douban.com/subject/1294138/
45,西线无战事,美国,1930-08-24,"['剧情', '动作', '历史', '战争']",8.6,https://movie.douban.com/subject/1295116/
46,大菩萨岭,日本,1966-02-25,"['动作', '剧情']",8.6,https://movie.douban.com/subject/1440164/
47,碧血金沙,美国,1948-01-24,"['冒险', '剧情', '西部', '动作']",8.6,https://movie.douban.com/subject/1292516/
48,落叶,日本,2004-01-17,"['动画', '动作', '冒险', '喜剧', '科幻']",8.6,https://movie.douban.com/subject/1947265/
49,滑铁卢战役,意大利,1970-10-26,"['动作', '剧情', '历史', '战争']",8.6,https://movie.douban.com/subject/1308721/
50,谍影重重,美国,2002-11-21,"['动作', '悬疑', '惊悚']",8.5,https://movie.douban.com/subject/1304102/
51,小萝莉的猴神大叔,印度,2018-03-02,"['剧情', '喜剧', '动作']",8.5,https://movie.douban.com/subject/26393561/
52,新龙门客栈,香港,2012-02-24,"['动作', '爱情', '武侠', '古装']",8.5,https://movie.douban.com/subject/1292287/
53,黑客帝国2：重装上阵,美国,2003-07-18,"['动作', '科幻']",8.5,https://movie.douban.com/subject/1304141/
54,角斗士,美国,2000-05-05,"['剧情', '动作', '冒险']",8.5,https://movie.douban.com/subject/1293530/
55,启示,美国,2006-12-08,"['动作', '冒险', '剧情']",8.5,https://movie.douban.com/subject/1450031/
56,正义联盟：闪点悖论,美国,2013-07-20,"['动作', '科幻', '动画', '奇幻', '冒险']",8.5,https://movie.douban.com/subject/24718965/
57,杀死比尔整个血腥事件,美国,2011-03-27,"['动作', '犯罪']",8.5,https://movie.douban.com/subject/10756537/
58,蜘蛛巢城,日本,1957-01-15,"['动作', '剧情', '奇幻', '惊悚', '战争']",8.5,https://movie.douban.com/subject/1294827/
59,侠女,台湾,1970-07-10,"['剧情', '动作', '武侠', '古装']",8.5,https://movie.douban.com/subject/1306490/
60,午夜狂奔,美国,1988-07-20,"['动作', '冒险', '喜剧', '犯罪', '惊悚']",8.5,https://movie.douban.com/subject/1294699/
61,最长的一天,美国,1962-10-04,"['动作', '剧情', '历史', '战争']",8.5,https://movie.douban.com/subject/1293626/
62,兽兵卫忍风帖,日本,1993-06-05,"['动画', '动作', '冒险', '奇幻', '惊悚']",8.5,https://movie.douban.com/subject/1421884/
63,盗信情缘,日本,1997-08-16,"['犯罪', '剧情', '动作', '喜剧']",8.5,https://movie.douban.com/subject/1292397/
64,死亡的游戏,日本,2001-07-26,['动作'],8.5,https://movie.douban.com/subject/5401681/
65,通往自由的通道,德国,2001-01-21,"['动作', '剧情', '历史', '惊悚']",8.5,https://movie.douban.com/subject/1432631/
66,笔中情,中国大陆,1982,"['剧情', '动作', '爱情', '古装']",8.5,https://movie.douban.com/subject/2000736/
67,王牌特工：特工学院,英国,2015-03-27,"['喜剧', '动作', '冒险']",8.4,https://movie.douban.com/subject/24405378/
68,变脸,美国,1997-06-27,"['动作', '科幻', '犯罪', '惊悚']",8.4,https://movie.douban.com/subject/1292659/
69,速度与激情5,美国,2011-05-12,"['动作', '犯罪']",8.4,https://movie.douban.com/subject/4286017/
70,无间道2,香港,2003-10-17,"['动作', '犯罪', '剧情', '惊悚']",8.4,https://movie.douban.com/subject/1307106/
71,罪恶之城,美国,2005-04-01,"['动作', '犯罪', '惊悚']",8.4,https://movie.douban.com/subject/1309027/
